,region,site,latitude
Bitou_T1,North_Taiwan,Bitou,25.12577
Bitou_T2,North_Taiwan,Bitou,25.12577
Bitou_T3,North_Taiwan,Bitou,25.12577
Bitou_T4,North_Taiwan,Bitou,25.12577
Bitou_T5,North_Taiwan,Bitou,25.12577
Chaikou_T1,Green_Island,Chaikou,22.67695
Chaikou_T2,Green_Island,Chaikou,22.67695
Chaikou_T3,Green_Island,Chaikou,22.67695
Chaikou_T4,Green_Island,Chaikou,22.67695
Chaikou_T5,Green_Island,Chaikou,22.67695
Chinwan_Inner_Bay_T1,Penghu,Chinwan_Inner_Bay,23.533342
Chinwan_Inner_Bay_T2,Penghu,Chinwan_Inner_Bay,23.533342
Chinwan_Inner_Bay_T3,Penghu,Chinwan_Inner_Bay,23.533342
Chinwan_Inner_Bay_T4,Penghu,Chinwan_Inner_Bay,23.533342
Chinwan_Inner_Bay_T5,Penghu,Chinwan_Inner_Bay,23.533342
Cimei_T1,Penghu,Cimei,23.188898
Cimei_T2,Penghu,Cimei,23.188898
Cimei_T3,Penghu,Cimei,23.188898
Cimei_T4,Penghu,Cimei,23.188898
Cimei_T5,Penghu,Cimei,23.188898
Dabaisha_T1,Green_Island,Dabaisha,22.63871
Dabaisha_T2,Green_Island,Dabaisha,22.63871
Dabaisha_T3,Green_Island,Dabaisha,22.63871
Dabaisha_T4,Green_Island,Dabaisha,22.63871
Dabaisha_T5,Green_Island,Dabaisha,22.63871
Dingbaisha_T1,Kenting,Dingbaisha,21.942417
Dingbaisha_T2,Kenting,Dingbaisha,21.942417
Dingbaisha_T3,Kenting,Dingbaisha,21.942417
Dingbaisha_T4,Kenting,Dingbaisha,21.942417
Dingbaisha_T5,Kenting,Dingbaisha,21.942417
Gongguan_T1,Green_Island,Gongguan,22.67762
Gongguan_T2,Green_Island,Gongguan,22.67762
Gongguan_T3,Green_Island,Gongguan,22.67762
Gongguan_T4,Green_Island,Gongguan,22.67762
Gongguan_T5,Green_Island,Gongguan,22.67762
Gupoyu_T1,Penghu,Gupoyu,23.714767
Gupoyu_T2,Penghu,Gupoyu,23.714767
Gupoyu_T3,Penghu,Gupoyu,23.714767
Gupoyu_T4,Penghu,Gupoyu,23.714767
Gupoyu_T5,Penghu,Gupoyu,23.714767
Hongchai_T1,Kenting,Hongchai,21.972533
Hongchai_T2,Kenting,Hongchai,21.972533
Hongchai_T3,Kenting,Hongchai,21.972533
Hongchai_T4,Kenting,Hongchai,21.972533
Hongchai_T5,Kenting,Hongchai,21.972533
Houbihu_T1,Kenting,Houbihou,21.94305
Houbihu_T2,Kenting,Houbihou,21.94305
Houbihu_T3,Kenting,Houbihou,21.94305
Houbihu_T4,Kenting,Houbihou,21.94305
Houbihu_T5,Kenting,Houbihou,21.94305
Jialeshuei_T1,Kenting,Jialeshuei,21.99923
Jialeshuei_T2,Kenting,Jialeshuei,21.99923
Jialeshuei_T3,Kenting,Jialeshuei,21.99923
Jialeshuei_T4,Kenting,Jialeshuei,21.99923
Jialeshuei_T5,Kenting,Jialeshuei,21.99923
